,mae_ci,mae_ci,mae_ci,mae_ci,mae_ci,mae_ci,mae_mean,mae_mean,mae_mean,mae_mean,mae_mean,mae_mean,tau_ci,tau_ci,tau_ci,tau_ci,tau_ci,tau_ci,tau_mean,tau_mean,tau_mean,tau_mean,tau_mean,tau_mean
Algorithm,DEBM,DEBM GMM,SA-EBM,TEMPO,UCL GMM,UCL KDE,DEBM,DEBM GMM,SA-EBM,TEMPO,UCL GMM,UCL KDE,DEBM,DEBM GMM,SA-EBM,TEMPO,UCL GMM,UCL KDE,DEBM,DEBM GMM,SA-EBM,TEMPO,UCL GMM,UCL KDE
Experiment,,,,,,,,,,,,,,,,,,,,,,,,
Exp 1: Ordinal kj (DM) + EBM + X (Normal),0.14399829280870874,0.11449396296669212,0.1554866549796906,0.02949864931157685,0.10405338125593165,0.14946008132937644,1.1211019283746557,1.020771349862259,0.976198347107438,0.5730578505992889,1.1343250688705233,2.039779614325069,0.02749483531529083,0.024869654659240133,0.02268474870647495,0.008264486895085492,0.023593987344103316,0.02560066437663878,0.2215151515151515,0.1803030303030303,0.13575757575757577,0.046969696969696974,0.19333333333333333,0.3090909090909091
Exp 2: Ordinal kj (DM) + EBM + X (Non-Normal),0.14376142390727303,0.15880370626775353,0.1448360104150821,0.04189276981759165,0.17587458408067883,0.17542636761151054,1.5513498622589532,1.5161157024793388,1.0582644628099174,0.8386225897073746,1.6173553719008265,2.29969696969697,0.029834962256327525,0.03464701202923579,0.022201355705821244,0.010267205610162394,0.03544696321054933,0.03554024836094176,0.26606060606060605,0.2642424242424243,0.1481818181818182,0.07242424242424245,0.2954545454545454,0.3818181818181818
Exp 3: Ordinal kj (Uniform) + EBM + X (Normal),0.10621708654370605,0.1946820328429017,0.0793962258009517,0.019553746254365192,0.11747689850764481,0.12618126007926897,1.054573002754821,0.9598071625344353,0.5980440771349862,0.5986501383781433,0.893168044077135,1.8081542699724518,0.02605542698750088,0.02557537640436153,0.01997392959470826,0.004204638951641583,0.02617438925659157,0.034436677640256555,0.18606060606060607,0.10939393939393939,0.06909090909090913,0.012727272727272749,0.12878787878787878,0.30242424242424243
Exp 4: Ordinal kj (Uniform) + EBM + X (Non-Normal),0.13608963020723014,0.14833499166857925,0.0968378722136956,0.035999617306475905,0.18189154996158535,0.15904085089156708,1.429228650137741,1.4075482093663914,0.7423415977961433,0.8698622548580169,1.606969696969697,2.3182644628099176,0.02864342581176895,0.0345989233365682,0.024420547632610576,0.006580035912968091,0.03154630959282281,0.028128866484795338,0.24878787878787878,0.2175757575757576,0.0787878787878788,0.037272727272727284,0.2733333333333333,0.3942424242424242
Exp 5: Continuous kj (Beta) + Sigmoid,0.0707066975278333,0.07261696754835653,0.1257859293568809,0.02876676841543042,0.08403395724145944,0.07172614241121993,1.164573002754821,1.1115151515151516,1.2597520661157027,0.6119559222459793,1.2202754820936639,1.9300826446280994,0.021302311139205526,0.03084630242506263,0.023552251338929034,0.006796722716627895,0.03322339563482438,0.026203142882920406,0.2221212121212121,0.20454545454545453,0.13575757575757577,0.04121212121212122,0.2724242424242424,0.2806060606060606
Exp 6: Continuous kj (Beta) + EBM + X (Normal),0.09331904621892492,0.08602991692393672,0.1128667477315354,0.03242690236464972,0.08113267664044187,0.15496713402974077,1.0579338842975208,0.9191735537190082,0.9256749311294766,0.5175206625461578,0.9419559228650138,1.651900826446281,0.026976883445857497,0.030922756068732297,0.017480503428952656,0.008723784370524068,0.030296235964309817,0.03266922293022107,0.23242424242424242,0.18151515151515152,0.11151515151515153,0.05696969696969699,0.16272727272727272,0.2806060606060606
Exp 7: Continuous kj (Beta) + EBM + X (Non-Normal),0.1268406351271873,0.10601450879091082,0.10978928598567983,0.04487691875430785,0.1504297456225159,0.14516473621279574,1.364297520661157,1.337465564738292,1.0023691460055095,0.7509917402267456,1.3640495867768596,1.9765289256198346,0.02708439607437105,0.034993138104618376,0.01758152019367345,0.010938165490014041,0.04392365827114664,0.034316144027839376,0.2542424242424242,0.24030303030303032,0.12606060606060607,0.08454545454545456,0.2924242424242424,0.3918181818181818
Exp 8: xi (Noise) + Continuous kj (Beta) + Sigmoid,0.0781733096993221,0.09146083073246714,0.10632570095929789,0.04581891038500629,0.07864112432015004,0.11349359587605726,1.115840220385675,1.2709641873278237,0.9094490358126721,0.693856749534607,1.2582920110192837,1.6918732782369146,0.024789644839033755,0.025907599162416056,0.022065781731188457,0.01043935186747641,0.02909523923034995,0.03826467099028311,0.2303030303030303,0.233030303030303,0.15393939393939393,0.07272727272727274,0.28424242424242424,0.32090909090909087
Exp 9: xi (Noise) + Continuous kj (Beta) + EBM + X (Normal),0.09353862187040411,0.09309891339392101,0.08652082604661314,0.033230022542515635,0.06285022407997885,0.12122906742458771,1.0457575757575759,1.0277685950413222,0.7041873278236914,0.6517630887031555,0.8851790633608816,1.598099173553719,0.02739984626802972,0.02290850429590308,0.02194196253842853,0.014801613959338393,0.028501985087028284,0.029866019949008213,0.21515151515151515,0.1715151515151515,0.1278787878787879,0.09121212121212122,0.1809090909090909,0.33848484848484844
